serialNumber,title,genre,people,age
1,"버라지 프로모 간부 타일C(AMIR)",전략 게임,1명 ~ 4명,만 14세 이상
2,"버라지 프로모 간부 타일B(WU)",전략 게임,1명 ~ 4명,만 14세 이상
3,"버라지 프로모 간부 타일A(ELON)",전략 게임,1명 ~ 4명,만 14세 이상
4,"버라지 확장: 5번째 발전회사",전략 게임,1명 ~ 5명,만 14세 이상
5,"버라지 확장: 레이흐바터르 프로젝트",전략 게임,1명 ~ 4명,만 14세 이상
6,"버라지",전략 게임,1명 ~ 4명,만 14세 이상
7,"골렘",전략 게임,1명 ~ 4명,만 14세 이상
8,"위대한 로렌초 마스터 에디션",전략 게임,2명 ~ 5명,만 14세 이상
9,"도미니언 확장: 굳건한 동맹",전략 게임,2명 ~ 4명,만 14세 이상
10,"글룸헤이븐 리무버블 스티커",전략 게임,1명 ~ 4명,만 14세 이상
11,"레이스 포 더 갤럭시 확장: 첫 번째 아크",전략 게임,1명 ~ 4명,만 14세 이상
12,"레이스 포 더 갤럭시",전략 게임,1명 ~ 4명,만 14세 이상
13,"테라포밍 마스 프로모 카드5",전략 게임,1명 ~ 5명,만 14세 이상
14,"라스베가스",가족 게임,2명 ~ 5명,만 8세 이상
15,아컴호러 카드 카르코사 개정판: 조사자 확장,"전략 게임,테마 집중형 게임",1명 ~ 4명,만 14세 이상
16,"루트 확장: 망명자와 게릴라 카드 팩 + 방랑자 팩",전략 게임,2명 ~ 4명,만 14세 이상
17,"루트 확장: 언더월드 + 태엽 장치",전략 게임,1명 ~ 6명,만 14세 이상
18,"스크래블 오리지널 2022","시스템 게임 종료 보너스,사각 격자,타일 놓기,핸드 관리",2명 ~ 4명,만 10세 이상
19,"시타델","전략 게임,가족 게임",2명 ~ 8명,만 10세 이상
20,[세트] 아컴호러 카드 조사자 확장 5종,"시스템 1인용 게임,가변적 플레이어 능력,핸드 관리,협력 게임",1명 ~ 2명,만 14세 이상
21,"카네기","시스템 1인용 게임,사각 격자,수입,연결,이동 포인트,자원 소모 이동,지역 이동,차례 순서 : 순서 진행,행동 회수,후속 행동",1명 ~ 4명,만 14세 이상
22,"온 마스 확장: 에일리언 인베이전",전략 게임,1명 ~ 5명,만 14세 이상
23,"온 마스",전략 게임,1명 ~ 4명,만 14세 이상
24,"비뉴스 딜럭스 에디션",전략 게임,1명 ~ 4명,만 14세 이상
25,"[세트] 카베르나 확장: 잊힌 종족 + 목재 구성물 + 잊힌 종족 프로모",전략 게임,1명 ~ 7명,만 14세 이상
26,"할러타우",전략 게임,1명 ~ 4명,만 14세 이상
27,"도미니언 확장: 위대한 제국 금속 토큰",전략 게임,2명 ~ 4명,만 14세 이상
28,만리장성 언어팩,전략 게임,1명 ~ 5명,만 14세 이상
29,"만리장성 용 게임 플레이 올인",전략 게임,1명 ~ 5명,만 14세 이상
30,"그라운드 플로어",전략 게임,1명 ~ 5명,만 14세 이상
31,"스몰 월드 오브 워크래프트",전략 게임,2명 ~ 5명,만 14세 이상
32,"아컴호러 카드 끝맺지: 돌아온 끝맺지 못한 의식","시스템 덱, 백, 풀 빌딩,핸드 관리,행동 포인트,롤플레잉,가변적 플레이어 능력,협력 게임",1명 ~ 4명,만 14세 이상
33,"트루아 확장: 트루아의 여인들",전략 게임,2명 ~ 4명,만 14세 이상
34,"트루아",전략 게임,2명 ~ 4명,만 14세 이상
35,파워그리드 재충전 확장: 지도 모음집,전략 게임,2명 ~ 6명,만 14세 이상
36,"코라 프로모: 메탈코인",전략 게임,2명 ~ 4명,만 14세 이상
37,"코라: 제국의 번성",전략 게임,2명 ~ 4명,만 14세 이상
38,광기의 저택: 주사위 세트,전략 게임,1명 ~ 5명,만 14세 이상
39,"아그리콜라 확장: 롤케이크 덱",전략 게임,1명 ~ 4명,만 14세 이상
